2026-09-05 16:30:41,059 INFO ethicalguard: [PQ-1-2] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 16:32:02,438 INFO ethicalguard: [PQ-3-7] ERS=0.30 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 16:35:08,893 INFO ethicalguard: [PQ-3-8] ERS=0.70 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 16:36:29,920 INFO ethicalguard: [PQ-4-9] ERS=0.75 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 16:38:05,328 INFO ethicalguard: [PQ-4-10] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 16:39:44,756 INFO ethicalguard: [MEE-equilibrium-0] ERS=0.85 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 16:42:52,127 INFO ethicalguard: [MEE-equilibrium-1] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 16:44:55,921 INFO ethicalguard: [MEE-equilibrium-2] ERS=0.80 type=medical_preference action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 16:46:29,411 INFO ethicalguard: [MEE-equilibrium-3] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 16:49:19,663 INFO ethicalguard: [MEE-equilibrium-4] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 16:52:10,564 INFO ethicalguard: [MEE-equilibrium-5] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 16:54:06,750 INFO ethicalguard: [MEE-equilibrium-6] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 16:55:55,446 INFO ethicalguard: [MEE-equilibrium-7] ERS=0.75 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 16:58:25,468 INFO ethicalguard: [MEE-equilibrium-8] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:00:16,038 INFO ethicalguard: [MEE-equilibrium-9] ERS=0.85 type=medical_resource action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:02:01,572 INFO ethicalguard: [VITAL-mc-C_001] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:03:20,554 INFO ethicalguard: [VITAL-mc-C_026] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:05:23,908 INFO ethicalguard: [VITAL-mc-C_043] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:07:47,016 INFO ethicalguard: [VITAL-mc-C_052] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:10:26,024 INFO ethicalguard: [VITAL-mc-C_081] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient']
2026-09-05 17:11:26,095 INFO ethicalguard: [VITAL-mc-C_095] ERS=0.80 type=preference_qol action=ethics_consult gate=intervene | 组队: ['physician', 'ethics_committee', 'patient', 'family']
2026-09-05 17:13:21,306 INFO ethicalguard: [MEQA-open-0] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:14:59,926 INFO ethicalguard: [MEQA-open-1] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:16:30,857 INFO ethicalguard: [MEQA-open-2] ERS=0.10 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:18:13,680 INFO ethicalguard: [MEQA-open-4] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:19:53,293 INFO ethicalguard: [MEQA-open-5] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:21:32,106 INFO ethicalguard: [MEQA-open-6] ERS=0.20 type=none action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
2026-09-05 17:23:10,914 INFO ethicalguard: [MEQA-open-8] ERS=0.30 type=preference_qol action=observe gate=routine | 组队: ['physician', 'ethics_committee', 'patient', 'family', 'hospital_admin']
